elder triple,71
buy limit,76
audusd biased,78
area potential,78
biased upside,79
limit audusd,80
trailing stop,81
limit lots,82
potential support,85
sell limit,88
sell price,89
key resistance,90
potential resistance,90
order sell,92
audusd bullish,94
audusd shorts,95
support area,97
resistance area,100
audusd stop,104
audusd potential,106
order closed,112
audusd daily,113
audusd bearish,118
setting audusd,139
cools audusd,143
audusd reversal,151
audusd short,155
risk cools,160
audusd usdcad,179
audusd support,182
long entry,198
audusd resistance,198
sentiment long,199
bought lots,212
short entry,225
long audusd,237
audusd long,272
short audusd,287
buy audusd,612
sell audusd,824
buy lots,1200
sell lots,1406
closed buy,1812
closed sell,2238
