"",0
"timestand compare audusd",1
"audnzd continually rip",1
"audusd bullish daily",1
"based simple ma",1
"bearish based simple",1
"bullish daily nzdusd",1
"daily nzdusd bearish",1
"ma audnzd continually",1
"nzdusd bearish based",1
"simple ma audnzd",1
"audusd moving bit",1
"bit gotta break",1
"gotta break tl",1
"ll playus yea",1
"lol ll playus",1
"moving bit gotta",1
"playus yea audusd",1
"yea audusd moving",1
"audusd half position",1
"earlier starting move",1
"entered audusd half",1
"half position short",1
"nice entered audusd",1
"oooh nice entered",1
"position short earlier",1
"short earlier starting",1
"audchf week audusd",1
"audusd nzdcad yesterday",1
"im short audchf",1
"lol im short",1
"short audchf week",1
"week audusd nzdcad",1
"fxstreetnews audusd drops",1
"fxstreetreports audusd biased",1
"audusd audusd tr",1
"level audusd aud",1
"audusd trades establishe",1
"audusd lows playing",1
"lows playing reindeer",1
"playing reindeer gam",1
"area h vol",1
"audusd finally finds",1
"distribution level sell",1
"finally finds sellers",1
"finds sellers area",1
"h vol distribution",1
"level sell bounc",1
"sellers area h",1
"vol distribution level",1
"audusd spy es",1
"bearish daily dominate",1
"bears bearish daily",1
"daily dominate bearish",1
"dominate bearish warning",1
"euro bears bearish",1
"warning audusd spy",1
"audcad scalp report",1
"audusd audcad scalp",1
"audusd targeting audcad",1
"good morning short",1
"morning short scalps",1
"play audusd targeting",1
"scalps play audusd",1
"short scalps play",1
"targeting audcad targeting",1
"audusd usdchf usdjpy",1
"breaking support level",1
"pairs price breaking",1
"price breaking support",1
"usdchf usdjpy pairs",1
"usdjpy pairs price",1
"audusd pivot coin",1
"coin flip direction",1
"flip direction eas",1
"pivot coin flip",1
"bearish risk exited",1
"exited audusd long",1
"ez news negative",1
"imho recent ez",1
"negative bearish risk",1
"news negative bearish",1
"recent ez news",1
"risk exited audusd",1
"ab cd resist",1
"audusd intraday pullback",1
"cd resist hold",1
"hold bullish stance",1
"intraday pullback ab",1
"pullback ab cd",1
"resist hold bullish",1
"audusd continuing momentum",1
"continuing momentum higher",1
"imho audusd continuing",1
"struggling break higher",1
"usd struggling break",1
"line audusd analysis",1
