"",0
"holding long tp",1
"resistance eurusd holding",1
"eurusd m change",1
"m change trend",1
"thodie eurusd m",1
"back life level",1
"break lets hunt",1
"lets hunt pips",1
"level break lets",1
"life level break",1
"nice eurusd back",1
"cypher patterns eurusd",1
"eurjpy bat pattern",1
"eurusd recap eurjpy",1
"members video potential",1
"patterns eurusd recap",1
"potential cypher patterns",1
"recap eurjpy bat",1
"syndicate members video",1
"video potential cypher",1
"airline gol posts",1
"brazil airline gol",1
"gol posts loss",1
"loss quarters eurusd",1
"posts loss quarters",1
"achieved thinking work",1
"market achieved thinking",1
"thinking work eurusd",1
"threats market achieved",1
"work eurusd usdjpi",1
"eur usd irrationally",1
"irrationally commerzbank eurusd",1
"usd irrationally commerzbank",1
"eurusd trades webinar",1
"trades webinar starts",1
"actions usdjpy eurusd",1
"effective actions usdjpy",1
"interventions rage effective",1
"rage effective actions",1
"verbal interventions rage",1
"eurusd tweezer top",1
"tweezer top job",1
"england eurusd confused",1
"eurusd confused hell",1
"climbs closer resistance",1
"closer resistance provided",1
"eurusd climbs closer",1
"july september rally",1
"provided retracement july",1
"resistance provided retracement",1
"retracement july september",1
"baby video update",1
"eurusd fractal baby",1
"fractal baby video",1
"update progress wedge",1
"video update progress",1
"eurusd update tight",1
"update tight range",1
"boj print unlimited",1
"calls boj print",1
"pm calls boj",1
"print unlimited yen",1
"unlimited yen eurusd",1
"ch pb poss",1
"eurusd h ch",1
"h ch pb",1
"bounce uptrend forming",1
"daily level target",1
"eurusd finally managed",1
"finally managed bounce",1
"forming daily level",1
"managed bounce uptrend",1
"uptrend forming daily",1
"bias daily close",1
"short bias daily",1
"true eurusd short",1
"expected move back",1
"bulls finally money",1
"eurusd underwater bulls",1
"finally money w",1
"kuroro eurusd underwater",1
"underwater bulls finally",1
"eurusd ty applause",1
"check fundamental section",1
"daily updates market",1
"fundamental section daily",1
"section daily updates",1
"updates market es",1
"usdjpy gbpusd gc",1
"careful flush eurusd",1
"bottom trend reload",1
"divergence eurusd move",1
"eurusd move bottom",1
"move bottom trend",1
"osc divergence eurusd",1
"positive osc divergence",1
"reload shorts squeez",1
"trend reload shorts",1
"eurusd signals posted",1
"play sides cross",1
"posted ready play",1
"ready play sides",1
"signals posted ready",1
"flat sun calling",1
"sun calling eurusd",1
"cut record low",1
"cutting rates eurusd",1
"discuss rate cut",1
"draghi wanted omt",1
"ecb discuss rate",1
"low draghi wanted",1
"omt cutting rates",1
"rate cut record",1
"record low draghi",1
"wanted omt cutting",1
"eurusd hehe eurusd",1
"hehe eurusd back",1
"corrective impulsive rise",1
"eurusd zone limit",1
"limit corrective impulsive",1
"zone limit corrective",1
"drops japan pm",1
"early election eurusd",1
"hints early election",1
"japan pm hints",1
"pm hints early",1
"yen drops japan",1
"case eurusd nice",1
"eurusd nice relief",1
"nice relief rally",1
"rally watch upside",1
"relief rally watch",1
"eurusd make make",1
