"rt points",46
"scored chiefs",46
"health indicator",46
"finishes wk",46
"update es",47
"week spi",47
"tsx ca",47
"t good",47
"pro tec",47
"higher highs",47
"dow jones",47
"w o",48
"dtn military",48
"military news",48
"buy dip",48
"cliff deal",48
"target spy",48
"shortrt covering",49
"dtx djia",49
"resistance dtx",49
"lowest close",49
"sell market",49
"clients eurusd",49
"component trend",49
"washington dc",51
"compq qqq",51
"daily market",52
"death cross",52
"past years",52
"past days",52
"bottom dia",52
"t guess",52
"spy xlf",52
"spy don",52
"small caps",52
"intraday support",53
"option pit",53
"mailed clients",53
"sell news",53
"gold oil",54
"term trend",54
"exclusive update",54
"demark sell",54
"qqq iwm",55
"time highs",55
"price target",55
"market rally",55
"ndx rut",56
"calls puts",56
"yr high",56
"good luck",57
"trend line",57
"qqqq dia",57
"trend health",57
"exclusive exclusive",57
"indu ndx",58
"spy qqqq",58
"aapl market",59
"average djia",59
"year highs",59
"source york",59
"f spi",60
"spy tlt",60
"months ago",60
"read lips",60
"debt ceiling",61
"spy vxx",61
"london market",61
"bln sources",61
"current state",62
"straight days",62
"iwm qqq",63
"haven t",63
"twitter sentiment",63
"european london",63
"djia nasdaq",64
"call ratio",64
"coming spy",64
"big drop",64
"multi year",64
"game plan",65
"tops bln",65
"market commentary",66
"head shortulders",66
"published e",66
"upper deck",67
"wouldn t",68
"ahm oil",68
"active spy",69
"consumer confidence",69
"market preview",70
"sell aapl",70
"e mailed",71
"cycle projection",73
"put call",73
"post market",73
"lt lt",73
"dia stock",75
"percent stocks",75
"state market",75
"time high",76
"sell sell",77
"djia ndx",78
"spy compq",78
"sp index",79
"rising wedge",79
"service solutions",79
"follow shortrt",80
"blog post",84
"stocks moving",84
"term ewp",86
"isn t",87
"year end",88
"commented stocktwits",88
"tom demark",88
"eurusd usdx",90
"double top",91
"bull market",93
"bear market",94
"study spy",94
"market outlook",95
"buy stocks",96
"pull back",97
"uvxy spy",100
"days row",100
"risk reward",100
"dia spy",101
"price action",102
"tvix uvxy",105
"good morning",105
"aapl spy",107
"won t",107
"comp dji",107
"cl f",108
"market spy",108
"gld slv",110
"spy iwm",119
"stocks spy",124
"didn t",132
"ndx nya",133
"exclusive gardner",135
"year high",136
"corp exclusive",137
"aapl goog",138
"support resistance",139
"moving average",140
"spy tvix",143
"reuters corp",145
"advancing range",149
"bears extreme",149
"bulls extreme",149
"net advancing",149
"pos ticks",149
"ticks bears",149
"ticks net",149
"ticks pos",149
"machinery maker",150
"hg f",151
"range range",151
"djia compq",153
"long term",154
"reuters industrial",163
"end deal",163
"talks end",163
"deal source",164
"exclusive bid",165
"billion sources",166
"denver talks",168
"tops billion",169
"spy market",174
"industrial machinery",174
"doesn t",181
"https t",184
"sell spy",197
"qqq dia",197
"spy aapl",216
"denver tops",241
"sources york",257
"buy gardner",262
"spy qqq",263
"bid gardner",266
"denver sources",270
"york reuters",291
"extreme ticks",298
"talks buy",301
"stock market",328
"fiscal cliff",331
"exclusive talks",376
"f spy",399
"shortrt term",440
"don t",677
"gardner denver",815
"crash stocks",896
"nyse spy",949
"uvxy nyse",949
"stocks uvxy",956
"market crash",962
"spy es",1015
"dia qqq",1258
"spy dia",1394
"es f",2326
