"",0
"am feb",1
"credit meets",1
"dot violence",1
"feb apr",1
"green dot",1
"intervention prevention",1
"meets mw",1
"mw am",1
"prevention credit",1
"register green",1
"violence intervention",1
"resistance resistance",1
"class tomorrow",1
"preparing presentation",1
"presentation class",1
"resistance sma",2
"support potential",2
"dax dow",2
"dow futures",2
"futures long",2
"gold dax",2
"long usdtry",2
"pos gold",2
"position update",2
"short pos",2
"update short",2
"break past",2
"failure break",2
"past potential",2
"aab minimum",2
"assistants hour",2
"firm paying",2
"hour aab",2
"law firm",2
"legal assistants",2
"paying legal",2
"student law",2
"told student",2
"back days",3
"bounce back",3
"convinced bounce",3
"approaching potential",4
"lots uk",4
"opened ticket",4
"order opened",4
"measles pakistan",5
"pakistan telegraph",5
"telegraph children",5
"bought lots",5
"class gotta",6
"hate class",6
"catch falling",6
"don t",6
"falling knife",6
"knife pauly",6
"t catch",6
"closed l",6
"l ticket",6
"order closed",6
"resistance potential",6
"charts pairs",7
"copper indexes",7
"cover instruments",7
"daily hr",7
"dax ibex",7
"gold copper",7
"hr charts",7
"hr hr",7
"indexes dax",7
"instruments weekly",7
"oil gold",7
"pairs oil",7
"weekly daily",7
"buy contract",7
"order buy",7
"die measles",7
"closed sell",8
"potential resistance",9
"back ma",9
"breaking higher",9
"brought back",9
"ma strongly",9
"rally brought",9
"strongly breaking",9
"week rally",9
"shouldn t",9
"t age",9
"buy lots",10
"ticket buy",10
"children die",10
"bought contract",12
"binary options",14
"call call",14
"call usd",14
"chf put",14
"contracts call",14
"options contracts",14
"put silver",14
"successful binary",14
"usd chf",14
"capital risk",14
"opened uk",14
"puts capital",14
"uk puts",14
"level potential",19
"move level",19
"moved potentially",19
"potentially move",19
"potential support",27
