"",0
"bought contract",1
"buy contract",1
"order buy",1
"costs open",1
"frightening point",1
"long frightening",1
"open bounced",1
"point costs",1
"back ma",1
"breaking higher",1
"brought back",1
"ma strongly",1
"rally brought",1
"strongly breaking",1
"week rally",1
"class tomorrow",1
"preparing presentation",1
"presentation class",1
"approaching potential",1
"charts pairs",1
"copper indexes",1
"cover instruments",1
"daily hr",1
"dax ibex",1
"gold copper",1
"hr charts",1
"hr hr",1
"indexes dax",1
"instruments weekly",1
"oil gold",1
"pairs oil",1
"weekly daily",1
"dax dow",1
"dow futures",1
"eurusd gold",1
"futures long",1
"gold dax",1
"long usdtri",1
"pos eurusd",1
"position update",1
"shortrt pos",1
"update shortrt",1
"break past",1
"failure break",1
"past potential",1
"bought lots",1
"close potential",1
"support close",1
"shortuldn t",1
"t age",1
"am feb",1
"credit meets",1
"dot violence",1
"feb apr",1
"green dot",1
"intervention prevention",1
"meets mw",1
"mw am",1
"prevention credit",1
"register green",1
"violence intervention",1
"sir dft",1
"aab minimum",1
"assistants hour",1
"firm paying",1
"hour aab",1
"law firm",1
"legal assistants",1
"paying legal",1
"student law",1
"told student",1
"gap trader",1
"mt gap",1
"class gotta",1
"gotta minut",1
"hate class",1
"closed ticket",1
"order closed",1
"lots uk",1
"opened ticket",1
"order opened",1
"back days",1
"bounce back",1
"convinced bounce",1
"catch falling",1
"don t",1
"falling knife",1
"knife pauly",1
"t catch",1
"equity markets",1
"gbpusd equity",1
"haven t",1
"markets haven",1
"problem gbpusd",1
"t caught",1
"gonna start",1
"investors leaving",1
"leaving uk",1
"property investors",1
"rallies read",1
"read property",1
"selling rallies",1
"start selling",1
"traded gonna",1
"uk part",1
"ve traded",1
"big pay",1
"break big",1
"break good",1
"closed waiting",1
"decisive break",1
"gains break",1
"good gains",1
"positions closed",1
"waiting decisive",1
"resistance resistance",2
"resistance sma",2
"resistance potential",2
"measles pakistan",2
"pakistan telegraph",2
"telegraph children",2
"buy lots",2
"ticket buy",2
"level potential",3
"move level",3
"moved potentially",3
"potentially move",3
"support potential",3
"capital risk",3
"opened uk",3
"puts capital",3
"uk puts",3
"die measles",3
"children die",4
"binary options",4
"call call",4
"call usd",4
"chf put",4
"contracts call",4
"options contracts",4
"put silv",4
"successful binary",4
"usd chf",4
"potential resistance",6
"closed sell",7
"pips pip",7
"sell pips",7
"potential support",10
