closed order,30
usdcad higher,31
target long,32
stop usdcad,32
broke resistance,32
usdcad breaks,39
eyes bearishness,39
usdcad weakens,39
stays downward,41
bearish engulfing,42
potential resistance,42
potential support,42
usdcad price,42
downward trend,42
resistance area,44
usdcad buy,45
usdcad sell,45
bullish harami,46
session highs,47
sell stop,50
bullish engulfing,59
sell limit,65
usdcad bearish,66
trailing stop,70
short usdcad,75
sold lots,89
buy stop,89
usdcad short,97
order closed,127
sold usdcad,134
long usdcad,137
long entry,165
buy limit,183
usdcad resistance,184
short entry,186
usdcad long,206
usdcad support,206
bought usdcad,206
bought lots,233
sell usdcad,543
usd cad,568
buy lots,578
sell lots,631
buy usdcad,747
closed sell,1123
closed buy,1327
