"",0
"core retail sales",1
"key stay maintain",1
"pm core retail",1
"pp retail sales",1
"retail sales pp",1
"sales pp retail",1
"sales usdcad key",1
"usdcad key stay",1
"gold surges weaker",1
"greenback inside futures",1
"surges weaker greenback",1
"weaker greenback inside",1
"points setting early",1
"period sma h",1
"playing period sma",1
"usdcad playing period",1
"gbpusd hold key",1
"hold key test",1
"usdcad gbpusd hold",1
"break higher t",1
"commit roadrunner mode",1
"fxc usdcad watching",1
"higher t commit",1
"loonie tempting break",1
"t commit roadrunner",1
"tempting break higher",1
"usdcad watching loonie",1
"watching loonie tempting",1
"audjpy cadchf bought",1
"cadchf bought usdcad",1
"late morning sold",1
"morning sold audjpy",1
"night late morning",1
"sold audjpy cadchf",1
"monthly bullish divergence",1
"usdcad monthly bullish",1
"early warning imb",1
"h bearish divergences",1
"usdcad h bearish",1
"usdcad bearish divergence",1
"r usdcad short",1
"short yesterday pips",1
"usdcad short yesterday",1
"yesterday pips lol",1
"clean congestion area",1
"long small clean",1
"small clean congestion",1
"usdcad long small",1
"exec h usdcad",1
"h usdcad pic",1
"stop locks pip",1
"usdcad stop locks",1
"eurusd markets july",1
"holding fumes gld",1
"imminent holding fumes",1
"july lows sell",1
"lows sell imminent",1
"markets july lows",1
"sell imminent holding",1
"usdcad eurusd markets",1
"disaster usdcad portending",1
"interesting usdcad triple",1
"portending term decline",1
"spells disaster usdcad",1
"term decline cad",1
"usdcad portending term",1
"disaster resistance firmly",1
"established usdcad t",1
"firmly established usdcad",1
"resistance firmly established",1
"spells disaster resistance",1
"market order scalp",1
"opened market order",1
"short opened market",1
"usdcad short opened",1
"firm kiwi spacewalker",1
"kiwi spacewalker severed",1
"spacewalker severed teth",1
"usdcad firm kiwi",1
"cad remains capped",1
"remains capped usdcad",1
"post usdcad triple",1
"top spells disasterforexr",1
"top spells dis",1
"fxstreetnews usdcad remains",1
"usdcad disaster forexrazor",1
"spells disasterforexrazorhigh risk",1
"top spells disasterforexrazorhigh",1
"contemporary usdcad previously",1
"usdcad contemporary usdcad",1
"disaster forexrazor ayrton",1
"forexrazor ayrton james",1
"h important things",1
"inverse h important",1
"update inverse h",1
"usdcad update inverse",1
"glad r usdcad",1
"jeez glad r",1
"r usdcad earli",1
"order short usdcad",1
"usdcad stop limit",1
"close stop target",1
"enter long session",1
"long session close",1
"session close stop",1
"setup enter long",1
"usdcad setup enter",1
"doji star bearish",1
"evening doji star",1
"continued push higher",1
"higher testing fib",1
