support channel,22
beneath support,23
usdchf higher,23
upside overview,23
swissy bearish,24
position short,25
sold broken,25
ticket buy,27
usdchf sold,27
usdchf downside,27
weakness usdchf,29
buy stop,30
usdchf consolidating,30
usdchf downward,31
usdchf bearish,33
sell stop,35
usdchf breaks,36
extend weakness,36
usdchf break,39
strength usdchf,41
limit usdchf,41
stop lots,43
usdchf indecisive,44
usdchf sell,46
usdchf buy,50
audusd usdjpy,50
buy limit,53
usdchf short,53
position long,56
short usdchf,60
closed usdchf,61
usdchf bullish,65
order closed,99
long usdchf,115
usdchf support,168
usdchf resistance,172
usdchf long,184
long entry,201
short entry,227
sell lots,446
sell usdchf,461
buy lots,539
buy usdchf,698
closed sell,853
closed buy,1226
