uptrend clear,62
usdjpy upside,64
support area,66
yen trades,66
resistance area,67
sold lots,71
ideas selling,71
lows usdjpy,74
yen crosses,75
resistance support,76
usdjpy correction,78
usdjpy buy,98
usdjpy uptrend,99
buying usdjpy,100
bullish based,101
key resistance,102
yen hits,108
usdjpy bearish,109
continue higher,112
order closed,135
sold usdjpy,158
usdjpy rally,158
usdjpy surges,159
drifts lower,181
bought usdjpy,200
usdjpy resistance,202
short entry,205
usdjpy support,217
usdjpy rallies,222
short usdjpy,264
usdjpy short,310
long entry,358
long usdjpy,401
usdjpy long,653
bought lots,671
sell usdjpy,1213
sell lots,1441
buy usdjpy,1473
bearish based,1673
sentiment bearish,1677
usdjpy sentiment,1928
closed sell,2575
buy lots,2710
closed buy,4151
