"",0
"profit position usdjpy",1
"blog posting usdjpy",1
"posting usdjpy challenge",1
"boj failed market",1
"failed market thinks",1
"fed boj failed",1
"inflation fed boj",1
"market thinks usdjpi",1
"achieved thinking work",1
"market achieved thinking",1
"thinking work eurusd",1
"threats market achieved",1
"work eurusd usdjpi",1
"actions usdjpy eurusd",1
"effective actions usdjpy",1
"interventions rage effective",1
"rage effective actions",1
"verbal interventions rage",1
"buy usdjpy nki",1
"forget buy usdjpy",1
"t forget buy",1
"earlier blog update",1
"handle earlier blog",1
"usdjpy handle earlier",1
"early warning http",1
"warning http t",1
"barriers difficult defend",1
"defend news shifts",1
"difficult defend news",1
"fx option barriers",1
"greater truths fx",1
"news shifts usdjpy",1
"option barriers difficult",1
"truths fx option",1
"aud longs don",1
"don t bot",1
"fyi rid aud",1
"longs don t",1
"rid aud longs",1
"t bot usdjpy",1
"alerts jpy crosses",1
"bullish reversal pattern",1
"crosses bullish reversal",1
"crosses strong led",1
"jpy crosses bullish",1
"jpy crosses strong",1
"led usdjpy yesterday",1
"long alerts jpy",1
"pattern h h",1
"reversal pattern h",1
"strong led usdjpy",1
"tx long alerts",1
"usdjpy yesterday tx",1
"yesterday tx long",1
"finally takes thought",1
"takes thought woud",1
"audusd usdchf usdjpy",1
"breaking support level",1
"eur usd gbp",1
"gbp usd audusd",1
"pairs price breaking",1
"price breaking support",1
"usd audusd usdchf",1
"usd gbp usd",1
"usdchf usdjpy pairs",1
"agree resist range",1
"anticipated target area",1
"area bias long",1
"bias long usdjpi",1
"range anticipated target",1
"resist range anticipated",1
"target area bias",1
"moment watching waiting",1
"nod moment watching",1
"usdjpy nod moment",1
"check fundamental section",1
"daily updates market",1
"fundamental section daily",1
"gbpusd gc f",1
"market es f",1
"section daily updates",1
"updates market es",1
"usdjpy gbpusd gc",1
"boxes boxes high",1
"boxes high location",1
"bullish expansion h",1
"expansion h boxes",1
"g usdjpy bullish",1
"h boxes boxes",1
"high location retrac",1
"retracement e g",1
"safer retracement e",1
"usdjpy bullish expansion",1
"daily bullish divergence",1
"usdjpy daily bullish",1
"back watching usdjpy",1
"bad back watching",1
"usdjpy inching upwards",1
"watching usdjpy inching",1
"acb sitting offer",1
"offer usdjpy eurjpy",1
"sitting offer usdjpy",1
"usdjpy eurjpy creeping",1
"usdjpy weekly bullish",1
"weekly bullish divergence",1
"bouncing support zon",1
"finally bouncing support",1
"usdjpy finally bouncing",1
"cliff ing ewj",1
"ing ewj usdjpi",1
"cliff ing macro",1
"ing macro usdjpi",1
"additional gains hard",1
"bullish additional gains",1
"rsi stands whopping",1
"stands whopping bullish",1
"usdjpy rsi stands",1
"whopping bullish additional",1
"premier objectif atteint",1
"reached premier objectif",1
"target reached premier",1
"usdjpy target reached",1
"jpy philadelphia fed",1
"manufacturing index usdjpy",1
"usd jpy philadelphia",1
"caught turn usdjpy",1
"finally caught turn",1
"gonna ride week",1
"ride week takes",1
"turn usdjpy gonna",1
"usdjpy gonna ride",1
"abe calls boj",1
"boj print unlimited",1
"calls boj print",1
"pm abe calls",1
"potential japan pm",1
"print unlimited wrong",1
"unlimited wrong usdjpi",1
"good hear long",1
"hear long usdjpi",1
