closed,sell,2922
closed,buy,2358
sell,lots,1761
buy,lots,1474
sell,audusd,1029
buy,audusd,856
audusd,short,478
bought,lots,307
audusd,long,267
short,entry,231
audusd,resistance,225
audusd,support,217
short,audusd,216
long,entry,198
minutes,long,181
audusd,bullish,179
long,audusd,168
sold,lots,125
audusd,bearish,118
bought,audusd,113
resistance,area,110
key,resistance,100
support,area,98
order,sell,92
potential,resistance,90
sell,limit,89
sell,price,89
sold,audusd,87
audusd,upside,86
potential,support,85
buy,limit,83
biased,upside,79
sell,stop,79
buy,stop,73
bearish,engulfing,67
audusd,sell,66
upside,risk,59
upside,eyes,57
uptrend,remains,53
numbers,uptrend,52
position,long,48
resistance,audusd,46
key,support,43
support,audusd,42
eyes,upside,40
remains,uptrend,40
bullish,eyes,38
audusd,buy,36
ticket,buy,34
net,long,34
