eurusd,indecisive,230
pull,back,250
bullish,momentum,268
eurusd,bid,277
eurusd,short,277
eurusd,weekly,302
eurusd,bearish,303
eurusd,resistance,304
high,low,321
eurusd,back,329
eurusd,support,331
eurusd,stop,333
order,pending,341
long,entry,359
closed,eurusd,371
elder,safe,381
safe,zone,381
daily,forecast,394
eurusd,sell,504
eurusd,bullish,518
sold,lots,545
eurusd,buy,596
ticket,sell,638
short,eurusd,671
long,eurusd,685
buy,limit,706
bought,eurusd,729
bearish,based,809
sentiment,bearish,816
ticket,buy,851
short,future,889
eurusd,long,920
buy,stop,924
sell,limit,939
sell,stop,941
bullish,based,1117
sentiment,bullish,1121
long,future,1130
bought,lots,1157
sell,eurusd,6490
buy,eurusd,7079
buy,lots,16469
sell,lots,17940
closed,buy,23969
closed,sell,25501
