closed,sell,25501
closed,buy,23969
sell,lots,17940
buy,lots,16469
buy,eurusd,7079
sell,eurusd,6490
bought,lots,1157
long,future,1130
sentiment,bullish,1121
bullish,based,1117
sell,stop,941
sell,limit,939
buy,stop,924
eurusd,long,920
short,future,889
ticket,buy,851
sentiment,bearish,816
bearish,based,809
bought,eurusd,729
buy,limit,706
long,eurusd,685
short,eurusd,671
ticket,sell,638
eurusd,buy,596
sold,lots,545
eurusd,bullish,518
eurusd,sell,504
daily,forecast,394
elder,safe,381
safe,zone,381
closed,eurusd,371
long,entry,359
order,pending,341
eurusd,stop,333
eurusd,support,331
eurusd,back,329
high,low,321
eurusd,resistance,304
eurusd,bearish,303
eurusd,weekly,302
eurusd,bid,277
eurusd,short,277
bullish,momentum,268
pull,back,250
eurusd,indecisive,230
