closed,sell,9598
closed,buy,8239
sell,lots,5125
buy,lots,4611
sell,gbpusd,2931
buy,gbpusd,2574
sentiment,bullish,1470
bullish,based,1466
sell,limit,1301
long,future,1092
short,future,1032
buy,limit,984
gbpusd,long,520
sentiment,bearish,502
bearish,based,499
long,entry,390
short,entry,266
gbpusd,resistance,265
gbpusd,support,249
gbpusd,short,248
long,gbpusd,198
gbpusd,falls,166
buy,stop,158
sentiment,long,151
gbpusd,buy,150
sell,stoch,147
gbpusd,bullish,142
ticket,sell,126
buy,stoch,121
ticket,buy,119
closed,gbpusd,111
bought,lots,104
gridhedgeenv,order,103
sold,lots,103
entry,floor,102
floor,trader,102
trader,pivot,102
key,support,100
entry,fibonacci,94
fibonacci,pivot,94
order,opened,89
gbpusd,retrace,72
stays,downward,70
potential,resistance,70
resistance,area,69
