closed,sell,12186
closed,buy,10766
sell,lots,6428
buy,lots,6042
sell,gbpusd,3772
buy,gbpusd,3281
sentiment,bullish,1503
bullish,based,1499
sell,limit,1459
buy,limit,1094
long,future,1092
short,future,1033
bought,lots,653
gbpusd,short,604
sold,lots,562
sold,gbpusd,560
gbpusd,long,515
sentiment,bearish,503
bearish,based,500
bought,gbpusd,486
long,entry,390
gbpusd,resistance,304
short,entry,278
sell,stop,272
gbpusd,support,270
gbpusd,sell,227
buy,stop,223
gbpusd,bearish,209
short,gbpusd,174
gbpusd,bullish,171
gbpusd,buy,155
long,gbpusd,152
sell,stoch,147
ticket,sell,137
ticket,buy,127
buy,stoch,121
support,area,95
key,support,90
downward,movement,80
sentiment,long,79
minutes,long,78
potential,resistance,71
stays,downward,70
potential,support,70
resistance,area,69
continues,downward,63
downward,trend,63
position,long,61
support,level,60
key,resistance,59
