closed,buy,1666
closed,sell,1499
sell,lots,891
buy,lots,836
buy,usdcad,772
sell,usdcad,590
bought,lots,443
bought,usdcad,253
usdcad,support,238
sold,lots,238
usdcad,short,231
usdcad,resistance,229
usdcad,long,197
buy,limit,191
short,entry,189
sold,usdcad,188
long,entry,160
usdcad,bullish,156
buy,stop,113
minutes,long,88
long,usdcad,77
usdcad,bearish,69
sell,stop,67
sell,limit,66
short,usdcad,60
sentiment,long,59
support,area,59
position,long,59
bullish,engulfing,58
usdcad,buy,52
bullish,harami,45
resistance,area,44
usdcad,sell,43
potential,resistance,42
ticket,buy,42
potential,support,42
ticket,sell,42
downward,trend,42
stays,downward,41
bearish,engulfing,41
key,resistance,41
bullish,min,37
trendline,support,35
usdcad,rallies,34
broke,resistance,32
target,long,32
buy,pip,32
wave,rally,31
rallies,eyes,30
long,atteinte,30
