closed,buy,5089
buy,lots,3332
closed,sell,3316
sell,lots,2016
buy,usdjpy,1720
sentiment,bearish,1703
bearish,based,1699
sell,usdjpy,1342
long,future,1330
short,future,1145
bought,lots,768
usdjpy,long,647
usdjpy,short,619
long,usdjpy,363
long,entry,359
bought,usdjpy,354
short,usdjpy,266
usdjpy,support,249
usdjpy,resistance,240
usdjpy,rallies,226
usdjpy,bullish,225
short,entry,209
usdjpy,rally,195
sold,usdjpy,169
sold,lots,156
usdjpy,bearish,139
buy,limit,134
usdjpy,buy,118
sentiment,bullish,111
buy,stop,110
sell,limit,108
key,resistance,106
bullish,based,105
usdjpy,upside,97
usdjpy,sell,93
resistance,support,85
sentiment,long,78
usdjpy,uptrend,78
rallies,pressure,77
usdjpy,bull,77
support,area,70
minutes,long,69
resistance,area,67
sell,stop,66
support,usdjpy,65
bull,pressure,65
levels,resistance,63
uptrend,clear,62
potential,support,61
position,long,59
